primary_artist,primary_artist_id,featured_artist,featured_artist_id,track,track_id,unique_id
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",0TfK37EQXM15a5SEbgw179|3oHkMCVJyOcjg5FhfLc2Rq,13ubrt8QOOCPljQ2FL1Kca0fA0VVWsXO9YnASrzqfmYu
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,F**k Sleep (feat. FKA twigs)|Fukk Sleep (feat. FKA twigs),1AqemxWsT0iGg5Lvkm16Bt|3MiFeuUW7keNpoSGDcJlAz,13ubrt8QOOCPljQ2FL1Kca6nB0iY1cjSY1KyhYyuIIKH
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Skepta,2p1fiYHYiXz9qi0JJyxBzN,Praise The Lord (Da Shine) (feat. Skepta),6gKXeygYSatXEo9C1pIZFp|7ycWLEP1GsNjVvcjawXz3z,13ubrt8QOOCPljQ2FL1Kca2p1fiYHYiXz9qi0JJyxBzN
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,CALLDROPS (feat. Kodak Black),1wGYcpJZ59rePkNu4zHmLu|5qP4150e8iD1avKD3RLJzD,13ubrt8QOOCPljQ2FL1Kca46SHBwWsqBkxI7EeeBEQG7
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Juicy J,5gCRApTajqwbnHHPbr2Fpi,Gunz N Butter (feat. Juicy J)|Multiply (feat. Juicy J)|Wavybone (feat. Juicy J & UGK),0DknII9CrtEehLjFpO4c2R|1Y367QTFBp28NON0iaegIX|3QMhEsjvG0cpHcvJJCkrV2|5N521RK66Z1FP0Oz6B4OlT|5cYZm4KeDKM8Pw8z5XRKJt|7j9Xcu1KvpiVfsrjqD6wZn,13ubrt8QOOCPljQ2FL1Kca5gCRApTajqwbnHHPbr2Fpi
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,French Montana,6vXTefBL93Dj5IqAWq6OTv,Brotha Man (feat. French Montana),3eBVfEGhsRSNooUIDF4eAT|6MmtDonkpvSoRx9ACwrGDu,13ubrt8QOOCPljQ2FL1Kca6vXTefBL93Dj5IqAWq6OTv
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Purity (feat. Frank Ocean),2MF4HtZHBoUliOi9nOAbS0|3ptdtaRrzO0jMHo1xw9Re3,13ubrt8QOOCPljQ2FL1Kca2h93pZq0e7k5yf4dywlkpM
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Joe Fox,2Dbnk0YRTPpKu46XzMf9nu,"Fine Whine (feat. Joe Fox, Future & M.I.A.)|Holy Ghost (feat. Joe Fox)|Jukebox Joints (feat. Joe Fox & Kanye West)|Max B (feat. Joe Fox)|Pharsyde (feat. Joe Fox)",08JibFRmq1lfZa55ihffCj|1eoJUx8vvEiPDfk43C1n7L|2WxzLbJfPA2vJGxQiKd7Jq|2gAGWaK4wvt2xrFUlR4mK8|34BMAuAAB1Eh8TvYWLbMHD|36D29kRoSw04hnFUTPlO9i|3VfDelUlMwIQtq3MYJ2Hpi|3nUzLfcuq7oXW0OsBAuCVP|4wuOxtRDeD9YiQOcmgay7e|5OqMyn064ZbaeP0pZZvrWB|5ZChh6X2RIvMBuiNvLtDQV|68m4uJn7CqxzwjHXDmRTLO|6AHNkRbVzkh95xilnYzDT7|6J9FgTr3z44Bw6ABeVL415|7MTy5lZTVP7tQvzSps0C5l,13ubrt8QOOCPljQ2FL1Kca2Dbnk0YRTPpKu46XzMf9nu
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,BONES,5v2WhpA59TJSdPh7LCx1lN,Canal St. (feat. Bones),00aF5EEoXdJreaknTVBoSI|0rBMP6VVGRgwnzZCLpijyl|2ioVOy4F66Vp2GNEOPUN36,13ubrt8QOOCPljQ2FL1Kca5v2WhpA59TJSdPh7LCx1lN
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Future,1RyvyyTE3xzB2ZywiAwp0i,"Fine Whine (feat. Joe Fox, Future & M.I.A.)",1eoJUx8vvEiPDfk43C1n7L|2WxzLbJfPA2vJGxQiKd7Jq|5ZChh6X2RIvMBuiNvLtDQV,13ubrt8QOOCPljQ2FL1Kca1RyvyyTE3xzB2ZywiAwp0i
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,M.I.A.,0QJIPDAEDILuo8AIq3pMuU,"Fine Whine (feat. Joe Fox, Future & M.I.A.)",1eoJUx8vvEiPDfk43C1n7L|2WxzLbJfPA2vJGxQiKd7Jq|5ZChh6X2RIvMBuiNvLtDQV,13ubrt8QOOCPljQ2FL1Kca0QJIPDAEDILuo8AIq3pMuU
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Jukebox Joints (feat. Joe Fox & Kanye West),2gAGWaK4wvt2xrFUlR4mK8|3nUzLfcuq7oXW0OsBAuCVP|68m4uJn7CqxzwjHXDmRTLO,13ubrt8QOOCPljQ2FL1Kca5K4W6rqBFWDnAN6FQUkS6x
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,UGK,6ZhjJOJXXwnPS8PrXdmjLw,Wavybone (feat. Juicy J & UGK),1Y367QTFBp28NON0iaegIX|3QMhEsjvG0cpHcvJJCkrV2|5cYZm4KeDKM8Pw8z5XRKJt,13ubrt8QOOCPljQ2FL1Kca6ZhjJOJXXwnPS8PrXdmjLw
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,James Fauntleroy,5ooSG9S0glqP5ZrqqaHBvT,West Side Highway,05OPepeS7vhvIflS405oqp|1A5hOZviINgYYxV9tZ22ox|3RySVukMPe4R7lAP8oGI17,13ubrt8QOOCPljQ2FL1Kca5ooSG9S0glqP5ZrqqaHBvT
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Lil Wayne,55Aa2cqylxrFIXC767Z865,M'$ (feat. Lil Wayne),29ZSk6XmWPx3DX69xBb7Yi|377JFI9V7sszZerqCno65V|7HeFwdi6XZRpUX3ZFsPMha,13ubrt8QOOCPljQ2FL1Kca55Aa2cqylxrFIXC767Z865
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",2JIGx5xnbOVpF0a7FPZJFW|2N3U8uTYhjX2KwGT0pf5x0|3LsKaCwIuiWcPxTOSZApmE,13ubrt8QOOCPljQ2FL1Kca2y8Jo9CKhJvtfeKOsYzRdT
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Miguel,360IAlyVv4PCEVjgyMZrxK,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",2JIGx5xnbOVpF0a7FPZJFW|2N3U8uTYhjX2KwGT0pf5x0|3LsKaCwIuiWcPxTOSZApmE,13ubrt8QOOCPljQ2FL1Kca360IAlyVv4PCEVjgyMZrxK
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",2JIGx5xnbOVpF0a7FPZJFW|2N3U8uTYhjX2KwGT0pf5x0|3LsKaCwIuiWcPxTOSZApmE,13ubrt8QOOCPljQ2FL1Kca3hv9jJF3adDNsBSIQDqcjp
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Mos Def,0Mz5XE0kb1GBnbLQm2VbcO,"Back Home (feat. Mos Def, Acyde & Yams)",1mBdmjLM7Rh3M7x4xch8po|41FxRrhwqe2LvFcU3WapS1|4aQBFJy4GNpDgyRPpnma0P,13ubrt8QOOCPljQ2FL1Kca0Mz5XE0kb1GBnbLQm2VbcO
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Acyde,1wgSZX1emWA4eS3vT1rgFA,"Back Home (feat. Mos Def, Acyde & Yams)",1mBdmjLM7Rh3M7x4xch8po|41FxRrhwqe2LvFcU3WapS1|4aQBFJy4GNpDgyRPpnma0P,13ubrt8QOOCPljQ2FL1Kca1wgSZX1emWA4eS3vT1rgFA
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Yams,39UC1BVSXxSVUChpBSftIW,"Back Home (feat. Mos Def, Acyde & Yams)",1mBdmjLM7Rh3M7x4xch8po|41FxRrhwqe2LvFcU3WapS1|4aQBFJy4GNpDgyRPpnma0P,13ubrt8QOOCPljQ2FL1Kca39UC1BVSXxSVUChpBSftIW
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Santigold,6Jrxnp0JgqmeUX1veU591p,Hell (feat. Santigold),3n3hCYuQexaqMJr1r8gWvo|5Uc07fEUpjjFcLEIleEHkJ,13ubrt8QOOCPljQ2FL1Kca6Jrxnp0JgqmeUX1veU591p
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,OverDoz.,5I81SUgzZ0g7dWkWKDc4QY,Pain (feat. OverDoz.),0WEq9dyqqfFPaNCaTIOkaY|6CZpEC9kyyCJWWZKPnviXY,13ubrt8QOOCPljQ2FL1Kca5I81SUgzZ0g7dWkWKDc4QY
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Drake,3TVXtAsR1Inumwj472S9r4,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",2nmYQwGi12IqG1Xs9v9iYl|4X5f3vT8MRuXF68pfjNte5,13ubrt8QOOCPljQ2FL1Kca3TVXtAsR1Inumwj472S9r4
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,2 Chainz,17lzZA2AlOHwCwFALHttmp,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",2nmYQwGi12IqG1Xs9v9iYl|4X5f3vT8MRuXF68pfjNte5,13ubrt8QOOCPljQ2FL1Kca17lzZA2AlOHwCwFALHttmp
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)|F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",1eLU27PPFxBhbp1CBjPh9J|2nmYQwGi12IqG1Xs9v9iYl|3MhUu5CEC5SYcleNZ2zUmx|4X5f3vT8MRuXF68pfjNte5,13ubrt8QOOCPljQ2FL1Kca2YZyLoL8N0Wb9xBt1NhZWg
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Skrillex,5he5w2lnU9x7JFhnwcekXX,Wild for the Night (feat. Skrillex & Birdy Nam Nam),2DP5IaZ0WEUhibImafxF1Y|2rzBvHM9h36Tpdj7Jdajka,13ubrt8QOOCPljQ2FL1Kca5he5w2lnU9x7JFhnwcekXX
